id,name,dob,batting_hand,bowling_skill,country,is_umpire
1,SC Ganguly,1972-07-08,Left_Hand,Right-arm medium,India,false
2,BB McCullum,1981-09-27,Right_Hand,Right-arm medium,New Zealand,false
3,RT Ponting,1974-12-19,Right_Hand,Right-arm medium,Australia,false
4,DJ Hussey,1977-07-15,Right_Hand,Right-arm offbreak,Australia,false
5,Mohammad Hafeez,1980-10-17,Right_Hand,Right-arm offbreak,Pakistan,false
6,R Dravid,1973-01-11,Right_Hand,Right-arm offbreak,India,false
7,W Jaffer,1978-02-16,Right_Hand,Right-arm offbreak,India,false
8,V Kohli,1988-11-05,Right_Hand,Right-arm medium,India,false
9,JH Kallis,1975-10-16,Right_Hand,Right-arm fast-medium,South Africa,false
10,CL White,1983-08-18,Right_Hand,Legbreak googly,Australia,false
11,MV Boucher,1976-12-03,Right_Hand,Right-arm medium,South Africa,false
12,B Akhil,1977-10-07,Right_Hand,Right-arm medium-fast,India,false
13,AA Noffke,1977-04-30,Right_Hand,Right-arm fast-medium,Australia,false
14,P Kumar,1986-10-02,Right_Hand,Right-arm medium,India,false
15,Z Khan,1978-10-07,Right_Hand,Left-arm fast-medium,India,false
16,SB Joshi,1970-06-06,Left_Hand,Slow left-arm orthodox,India,false
18,ML Hayden,1971-10-29,Left_Hand,Right-arm medium,Australia,false
19,MEK Hussey,1975-05-27,Left_Hand,Right-arm medium,Australia,false
20,MS Dhoni,1981-07-07,Right_Hand,Right-arm medium,India,false
21,SK Raina,1986-11-27,Left_Hand,Right-arm offbreak,India,false
22,JDP Oram,1978-07-28,Left_Hand,Right-arm fast-medium,New Zealand,false
23,S Badrinath,1980-08-30,Right_Hand,Right-arm offbreak,India,false
24,K Goel,1986-12-24,Left_Hand,Right-arm offbreak,India,false
25,JR Hopes,1978-10-24,Right_Hand,Right-arm medium,Australia,false
26,KC Sangakkara,1977-10-27,Left_Hand,Right-arm offbreak,Sri Lanka,false
27,Yuvraj Singh,1981-12-12,Left_Hand,Slow left-arm orthodox,India,false
28,SM Katich,1975-08-21,Left_Hand,Slow left-arm chinaman,Australia,false
29,IK Pathan,1984-10-27,Left_Hand,Left-arm medium-fast,India,false
30,T Kohli,1988-12-17,Right_Hand,Right-arm medium,India,false
31,YK Pathan,1982-11-17,Right_Hand,Right-arm offbreak,India,false
32,SR Watson,1981-06-17,Right_Hand,Right-arm fast-medium,Australia,false
33,M Kaif,1980-12-01,Right_Hand,Right-arm offbreak,India,false
34,DS Lehmann,1970-02-05,Left_Hand,Slow left-arm orthodox,Australia,false
35,RA Jadeja,1988-12-06,Left_Hand,Slow left-arm orthodox,India,false
37,D Salunkhe,1982-11-12,Right_Hand,Legbreak,India,false
38,SK Warne,1969-09-13,Right_Hand,Legbreak googly,Australia,false
39,SK Trivedi,1982-09-04,Right_Hand,Right-arm medium,India,false
40,G Gambhir,1981-10-14,Left_Hand,Legbreak,India,false
41,V Sehwag,1978-10-20,Right_Hand,Right-arm offbreak,India,false
42,S Dhawan,1985-12-05,Left_Hand,Right-arm offbreak,India,false
44,ST Jayasuriya,1969-06-30,Left_Hand,Slow left-arm orthodox,Sri Lanka,false
45,DJ Thornely,1978-10-01,Right_Hand,Right-arm medium,Australia,false
46,RV Uthappa,1985-11-11,Right_Hand,Right-arm medium,India,false
48,AM Nayar,1983-10-08,Left_Hand,Right-arm medium,India,false
49,SM Pollock,1973-07-16,Right_Hand,Right-arm fast-medium,South Africa,false
50,Harbhajan Singh,1980-07-03,Right_Hand,Right-arm offbreak,India,false
51,S Chanderpaul,1974-08-16,Left_Hand,Legbreak,West Indies,false
52,LRPL Taylor,1984-03-08,Right_Hand,Right-arm offbreak,New Zealand,false
53,AC Gilchrist,1971-11-14,Left_Hand,Right-arm offbreak,Australia,false
54,Y Venugopal Rao,1982-02-26,Right_Hand,Right-arm offbreak,India,false
55,VVS Laxman,1974-11-01,Right_Hand,Right-arm offbreak,India,false
56,A Symonds,1975-06-09,Right_Hand,Right-arm offbreak,Australia,false
57,RG Sharma,1987-04-30,Right_Hand,Right-arm offbreak,India,false
58,SB Styris,1975-07-10,Right_Hand,Right-arm medium,New Zealand,false
59,SB Bangar,1972-10-11,Right_Hand,Right-arm medium-fast,India,false
60,WPUJC Vaas,1974-01-27,Left_Hand,Left-arm fast-medium,Sri Lanka,false
61,RP Singh,1985-12-06,Right_Hand,Left-arm fast-medium,India,false
63,LR Shukla,1981-05-06,Right_Hand,Right-arm medium,India,false
64,DPMD Jayawardene,1977-05-27,Right_Hand,Right-arm medium,Sri Lanka,false
65,S Sohal,1987-11-10,Right_Hand,Legbreak,India,false
66,B Lee,1976-11-08,Right_Hand,Right-arm fast,Australia,false
67,PP Chawla,1988-12-24,Left_Hand,Legbreak,India,false
68,WA Mota,1981-09-20,Right_Hand,Right-arm medium,India,false
70,Shahid Afridi,1980-03-01,Right_Hand,Legbreak googly,Pakistan,false
71,DJ Bravo,1983-10-07,Right_Hand,Right-arm medium-fast,West Indies,false
72,MA Khote,1980-04-22,Right_Hand,Right-arm medium,India,false
73,A Nehra,1979-04-29,Right_Hand,Left-arm medium-fast,India,false
74,GC Smith,1981-02-01,Left_Hand,Right-arm offbreak,South Africa,false
75,Pankaj Singh,1985-05-06,Right_Hand,Right-arm medium-fast,India,false
76,RR Sarwan,1980-06-23,Right_Hand,Legbreak,West Indies,false
77,S Sreesanth,1983-02-06,Right_Hand,Right-arm fast-medium,India,false
78,VRV Singh,1984-09-17,Right_Hand,Right-arm medium-fast,India,false
80,DS Kulkarni,1988-12-10,Right_Hand,Right-arm medium,India,false
81,R Vinay Kumar,1984-02-12,Right_Hand,Right-arm medium,India,false
82,AB Agarkar,1977-12-04,Right_Hand,Right-arm fast,India,false
83,M Kartik,1976-09-11,Left_Hand,Slow left-arm orthodox,India,false
84,I Sharma,1988-09-02,Right_Hand,Right-arm fast-medium,India,false
85,AM Rahane,1988-06-06,Right_Hand,Right-arm medium,India,false
86,Shoaib Malik,1982-02-01,Right_Hand,Right-arm offbreak,Pakistan,false
87,MK Tiwary,1985-11-14,Right_Hand,Legbreak googly,India,false
89,R Bhatia,1979-10-22,Right_Hand,Right-arm medium-fast,India,false
90,MF Maharoof,1984-09-07,Right_Hand,Right-arm fast-medium,India,false
91,VY Mahesh,1987-12-21,Right_Hand,Right-arm medium-fast,India,false
92,TM Srivastava,1989-11-07,Left_Hand,Right-arm medium,India,false
93,B Chipli,1983-01-27,Right_Hand,Right-arm medium,India,false
94,DW Steyn,1983-06-27,Right_Hand,Right-arm fast,South Africa,false
95,DB Das,1986-09-22,Right_Hand,Legbreak googly,India,false
96,MK Pandey,1989-09-10,Right_Hand,Right-arm medium,India,false
97,HH Gibbs,1974-02-23,Right_Hand,Right-arm bowler,South Africa,false
98,DNT Zoysa,1978-05-13,Left_Hand,Left-arm fast-medium,Sri Lanka,false
99,D Kalyankrishna,1983-12-16,Right_Hand,Right-arm medium-fast,India,false
100,SE Marsh,1983-07-09,Left_Hand,Slow left-arm orthodox,Australia,false
101,SA Asnodkar,1984-03-29,Right_Hand,Right-arm offbreak,India,false
102,Sohail Tanvir,1984-12-12,Left_Hand,Left-arm medium-fast,Pakistan,false
103,Salman Butt,1984-10-07,Left_Hand,Right-arm offbreak,Pakistan,false
104,BJ Hodge,1974-12-29,Right_Hand,Right-arm offbreak,Australia,false
105,Umar Gul,1984-04-14,Right_Hand,Right-arm fast-medium,Pakistan,false
106,AB Dinda,1984-03-25,Right_Hand,Right-arm medium-fast,India,false
108,S Vidyut,1981-12-03,Left_Hand,Slow left-arm orthodox,India,false
109,JA Morkel,1981-06-10,Left_Hand,Right-arm medium-fast,South Africa,false
110,AB de Villiers,1984-02-17,Right_Hand,Right-arm medium,South Africa,false
111,LPC Silva,1979-12-14,Right_Hand,Legbreak,Sri Lanka,false
112,DB Ravi Teja,1987-09-05,Right_Hand,Legbreak googly,India,false
113,Misbah-ul-Haq,1974-05-28,Right_Hand,Legbreak,Pakistan,false
115,RR Raje,1986-09-03,Right_Hand,Right-arm fast-medium,India,false
116,PJ Sangwan,1990-11-05,Right_Hand,Left-arm medium,India,false
117,Mohammad Asif,1982-12-20,Left_Hand,Right-arm fast-medium,Pakistan,false
118,GD McGrath,1970-02-09,Right_Hand,Right-arm fast-medium,Australia,false
119,Joginder Sharma,1983-10-23,Right_Hand,Right-arm fast-medium,India,false
120,MS Gony,1984-01-04,Right_Hand,Right-arm medium,India,false
121,M Muralitharan,1972-04-17,Right_Hand,Right-arm offbreak,Sri Lanka,false
122,M Ntini,1977-07-06,Right_Hand,Right-arm fast,South Africa,false
124,A Kumble,1970-10-17,Right_Hand,Legbreak googly,India,false
126,MM Patel,1983-07-12,Right_Hand,Right-arm medium-fast,India,false
127,CK Kapugedera,1987-02-24,Right_Hand,Right-arm medium,Sri Lanka,false
128,A Chopra,1977-09-19,Right_Hand,Right-arm offbreak,India,false
129,T Taibu,1983-05-14,Right_Hand,Right-arm medium,Zimbabwea,false
130,J Arunkumar,1975-01-18,Right_Hand,Right-arm offbreak,India,false
131,PP Ojha,1986-09-05,Left_Hand,Slow left-arm orthodox,India,false
133,SR Tendulkar,1973-04-24,Right_Hand,Right-arm offbreak,India,false
135,TM Dilshan,1976-10-14,Right_Hand,Right-arm offbreak,Sri Lanka,false
136,A Mishra,1982-11-24,Right_Hand,Legbreak,India,false
137,AD Mascarenhas,1977-10-30,Right_Hand,Right-arm fast-medium,England,false
139,LA Pomersbach,1984-09-28,Left_Hand,Right-arm offbreak,Australia,false
140,Iqbal Abdulla,1989-12-02,Left_Hand,Slow left-arm orthodox,India,false
141,Younis Khan,1977-11-29,Right_Hand,Right-arm medium,Pakistan,false
142,PM Sarvesh Kumar,1989-04-26,Right_Hand,Right-arm medium,India,false
143,DP Vijaykumar,1986-10-20,Right_Hand,Right-arm medium,India,false
144,Shoaib Akhtar,1975-08-13,Right_Hand,Right-arm fast,Pakistan,false
145,Abdur Razzak,1982-06-15,Left_Hand,Slow left-arm orthodox,Bangladesh,false
147,DR Smith,1983-04-12,Right_Hand,Right-arm medium,West Indies,false
148,SD Chitnis,1987-05-06,Right_Hand,Right-arm offbreak,India,false
149,CRD Fernando,1979-07-19,Right_Hand,Right-arm fast-medium,Sri Lanka,false
150,VS Yeligati,1985-04-23,Right_Hand,Right-arm offbreak,India,false
151,L Balaji,1981-09-27,Right_Hand,Right-arm medium-fast,India,false
152,A Mukund,1990-01-06,Left_Hand,Legbreak googly,India,false
153,RR Powar,1978-05-20,Right_Hand,Right-arm offbreak,India,false
154,JP Duminy,1984-04-14,Left_Hand,Right-arm offbreak,South Africa,false
155,A Flintoff,1977-12-06,Right_Hand,Right-arm fast-medium,England,false
156,T Thushara,1981-03-01,Left_Hand,Left-arm fast-medium,Sri Lanka,false
157,JD Ryder,1984-08-06,Left_Hand,Right-arm medium,New Zealand,false
158,KP Pietersen,1980-06-27,Right_Hand,Right-arm offbreak,South Africa,false
159,T Henderson,1974-08-01,Right_Hand,Right-arm fast-medium,South Africa,false
160,Kamran Khan,1991-03-10,Left_Hand,Left-arm medium-fast,India,false
161,RS Bopara,1985-05-04,Right_Hand,Right-arm medium,England,false
162,CH Gayle,1979-09-21,Left_Hand,Right-arm offbreak,West Indies,false
163,MC Henriques,1987-02-01,Right_Hand,Right-arm fast-medium,Australia,false
164,R Bishnoi,1987-10-08,Right_Hand,Right-arm medium-fast,India,false
165,FH Edwards,1982-02-06,Right_Hand,Right-arm fast,West Indies,false
166,KV Sharma,1987-10-23,Left_Hand,Legbreak googly,India,false
167,PC Valthaty,1983-12-07,Right_Hand,Right-arm medium,India,false
168,RJ Quiney,1982-08-20,Left_Hand,Right-arm medium,Australia,false
169,AS Raut,1987-03-03,Right_Hand,Legbreak googly,India,false
170,Yashpal Singh,1981-11-27,Right_Hand,Right-arm medium,India,false
171,M Manhas,1979-10-12,Right_Hand,Right-arm offbreak,India,false
172,AA Bilakhia,1986-05-31,Right_Hand,Right-arm medium,India,false
173,AN Ghosh,1986-10-19,Right_Hand,Right-arm medium,India,false
174,BAW Mendis,1985-03-11,Right_Hand,Right-arm offbreak,Sri Lanka,false
175,DL Vettori,1979-01-27,Left_Hand,Slow left-arm orthodox,New Zealand,false
176,MN van Wyk,1979-03-20,Right_Hand,Slow left-arm orthodox,South Africa,false
177,RE van der Merwe,1984-12-31,Right_Hand,Slow left-arm orthodox,South Africa,false
178,TL Suman,1983-12-15,Right_Hand,Right-arm offbreak,India,false
179,Shoaib Ahmed,1990-08-17,Right_Hand,Right-arm fast-medium,Pakistan,false
180,GR Napier,1980-01-06,Right_Hand,Right-arm medium,England,false
181,KP Appanna,1988-12-20,Right_Hand,Slow left-arm orthodox,India,false
182,LA Carseldine,1975-11-17,Left_Hand,Left-arm medium,Australia,false
184,SM Harwood,1974-03-01,Right_Hand,Right-arm fast-medium,Australia,false
185,M Vijay,1984-04-01,Right_Hand,Right-arm offbreak,India,false
186,SB Jakati,1980-11-27,Left_Hand,Slow left-arm orthodox,India,false
187,DA Warner,1986-10-27,Left_Hand,Legbreak,Australia,false
188,RJ Harris,1979-10-11,Right_Hand,Right-arm fast,Australia,false
189,D du Preez,1981-11-08,Right_Hand,Right-arm fast-medium,South Africa,false
190,M Morkel,1984-10-06,Left_Hand,Right-arm fast,South Africa,false
191,AD Mathews,1987-06-02,Right_Hand,Right-arm fast-medium,Sri Lanka,false
192,J Botha,1982-05-02,Right_Hand,Right-arm offbreak,South Africa,false
193,C Nanda,1979-03-29,Right_Hand,Legbreak,India,false
194,SL Malinga,1983-08-28,Right_Hand,Right-arm fast,Sri Lanka,false
195,Mashrafe Mortaza,1983-10-05,Right_Hand,Right-arm fast-medium,Bangladesh,false
196,A Singh,1981-06-21,Right_Hand,Right-arm medium-fast,India,false
197,GJ Bailey,1982-09-07,Right_Hand,Right-arm medium,Australia,false
198,AB McDonald,1981-06-05,Right_Hand,Right-arm fast-medium,Australia,false
199,Y Nagar,1990-01-06,Right_Hand,Right-arm offbreak,India,false
200,SS Shaikh,1987-01-18,Right_Hand,Right-arm medium,India,false
201,R Ashwin,1986-09-17,Right_Hand,Right-arm offbreak,India,false
202,Mohammad Ashraful,1984-07-07,Right_Hand,Right-arm offbreak,Bangladesh,false
203,CA Pujara,1988-01-25,Right_Hand,Legbreak,India,false
204,OA Shah,1978-10-22,Right_Hand,Right-arm offbreak,England,false
205,Anirudh Singh,1980-08-02,Left_Hand,Right-arm medium,India,false
206,Jaskaran Singh,1989-09-04,Right_Hand,Right-arm medium,India,false
208,AT Rayudu,1985-09-23,Right_Hand,Right-arm offbreak,India,false
209,R Sathish,1981-01-14,Right_Hand,Right-arm medium,India,false
210,R McLaren,1983-02-09,Left_Hand,Right-arm medium-fast,South Africa,false
211,AA Jhunjhunwala,1982-12-01,Right_Hand,Right-arm offbreak,India,false
212,P Dogra,1984-11-19,Right_Hand,Legbreak,India,false
213,A Uniyal,1981-11-21,Left_Hand,Left-arm medium,India,false
215,YA Abdulla,1983-01-17,Left_Hand,Left-arm fast-medium,India,false
216,EJG Morgan,1986-09-10,Left_Hand,Right-arm medium,England,false
217,JM Kemp,1977-10-02,Right_Hand,Right-arm fast-medium,South Africa,false
218,S Tyagi,1987-09-17,Right_Hand,Right-arm medium,India,false
219,RS Gavaskar,1976-02-20,Left_Hand,Slow left-arm orthodox,India,false
220,SE Bond,1975-06-07,Right_Hand,Right-arm fast,New Zealand,false
221,KA Pollard,1987-05-12,Right_Hand,Right-arm medium-fast,West Indies,false
222,S Ladda,1986-07-10,Right_Hand,Legbreak,India,false
223,DP Nannes,1976-05-16,Right_Hand,Left-arm fast,Australia,false
224,MJ Lumb,1980-02-12,Left_Hand,Right-arm medium,England,false
225,DR Martyn,1971-10-21,Right_Hand,Right-arm medium,Australia,false
226,S Narwal,1982-04-16,Left_Hand,Right-arm medium,India,false
227,AB Barath,1990-04-14,Right_Hand,Right-arm offbreak,India,false
228,Bipul Sharma,1983-09-28,Left_Hand,Slow left-arm orthodox,India,false
229,FY Fazal,1985-09-07,Left_Hand,Right-arm medium,India,false
230,AC Voges,1979-10-04,Right_Hand,Slow left-arm orthodox,Australia,false
231,MD Mishra,1984-02-09,Right_Hand,Right-arm offbreak,India,false
232,UT Yadav,1987-10-25,Right_Hand,Right-arm fast-medium,India,false
233,J Theron,1985-07-24,Right_Hand,Right-arm medium-fast,South Africa,false
234,SJ Srivastava,1981-09-22,Right_Hand,Left-arm fast-medium,India,false
235,R Sharma,1987-04-30,Right_Hand,Right-arm offbreak,India,false
236,Mandeep Singh,1991-12-18,Right_Hand,Right-arm medium,India,false
237,KM Jadhav,1985-03-26,Right_Hand,Right-arm offbreak,India,false
238,SW Tait,1983-02-22,Right_Hand,Right-arm fast,Australia,false
239,KB Arun Karthik,1986-02-15,Right_Hand,Legbreak googly,India,false
240,KAJ Roach,1988-06-30,Right_Hand,Right-arm fast,West Indies,false
241,PD Collingwood,1976-05-26,Right_Hand,Right-arm medium,England,false
242,CK Langeveldt,1974-12-17,Right_Hand,Right-arm fast-medium,England,false
243,VS Malik,1983-05-09,Right_Hand,Right-arm medium,India,false
244,A Mithun,1989-10-25,Right_Hand,Right-arm medium,India,false
245,AP Dole,1987-10-09,Right_Hand,Right-arm medium-fast,India,false
246,AN Ahmed,1988-11-05,Right_Hand,Right-arm medium-fast,India,false
247,RS Sodhi,1980-10-18,Right_Hand,Right-arm medium,India,false
248,DE Bollinger,1981-07-24,Left_Hand,Left-arm fast-medium,Australia,false
249,S Sriram,1976-02-21,Left_Hand,Slow left-arm orthodox,India,false
250,B Sumanth,1988-05-10,Right_Hand,Right-arm medium-fast,India,false
253,MR Marsh,1991-10-20,Right_Hand,Right-arm medium,Australia,false
254,AJ Finch,1986-11-17,Right_Hand,Slow left-arm orthodox,Australia,false
255,STR Binny,1984-06-03,Right_Hand,Right-arm medium,India,false
256,Harmeet Singh,1992-09-07,Left_Hand,Slow left-arm orthodox,India,false
257,IR Jaggi,1989-01-27,Right_Hand,Legbreak googly,India,false
258,DT Christian,1983-05-04,Right_Hand,Right-arm fast-medium,Australia,false
259,RV Gomez,1985-10-16,Right_Hand,Right-arm medium,India,false
261,AUK Pathan,1984-06-17,Right_Hand,Right-arm medium,India,false
262,UBT Chand,1993-03-26,Right_Hand,Right-arm offbreak,India,false
263,DJ Jacobs,1982-11-04,Right_Hand,Right-arm medium,South Africa,false
264,Sunny Singh,1986-12-18,Right_Hand,Right-arm medium-fast,India,false
